Week Ending,Adult-Use Retail Sales,Medical Marijuana Retail Sales,Total Adult-Use and Medical Sales,Adult-Use Products Sold,Medical Products Sold,Total Products Sold,Adult-Use Average Product Price,Medical Average Product Price
1/14/2023,"$1,485,019.32","$1,776,700.69","$3,261,720.01",33610,49312,82922,$44.25,$36.23
1/21/2023,"$1,487,815.81","$2,702,525.61","$4,190,341.42",33005,77461,110466,$45.08,$34.89
1/28/2023,"$1,553,216.30","$2,726,237.56","$4,279,453.86",34854,76450,111304,$44.56,$35.65
1/31/2023,"$578,840.62","$863,287.86","$1,442,128.48",12990,24023,37013,$44.56,$35.93
2/4/2023,"$1,047,436.20","$1,971,731.40","$3,019,167.60",24134,56666,80800,$43.49,$34.84
2/11/2023,"$1,671,205.80","$2,815,023.87","$4,486,229.67",38764,77454,116218,$43.33,$36.30
2/18/2023,"$1,742,486.74","$3,008,219.03","$4,750,705.77",42178,83065,125243,$41.56,$36.33
2/25/2023,"$1,862,822.43","$2,793,882.27","$4,656,704.70",45919,75990,121909,$40.76,$36.74
2/28/2023,"$700,300.78","$853,033.11","$1,553,333.89",17570,23469,41039,$39.96,$36.35
3/4/2023,"$1,355,673.59","$2,145,964.90","$3,501,638.49",33548,56607,90155,$40.42,$37.98
3/11/2023,"$2,100,022.43","$2,664,338.40","$4,764,360.83",51174,71988,123162,$41.08,$36.92
3/18/2023,"$2,124,468.68","$2,674,501.67","$4,798,970.35",52042,72728,124770,$40.81,$36.68
3/25/2023,"$2,151,040.59","$2,798,631.38","$4,949,671.97",53130,75500,128630,$40.50,$37.06
3/31/2023,"$1,831,943.14","$2,292,570.07","$4,124,513.21",45080,62239,107319,$40.65,$36.66
4/1/2023,"$418,812.68","$411,394.13","$830,206.81",10364,11121,21485,$40.41,$36.99
4/8/2023,"$2,403,561.83","$2,666,563.86","$5,070,125.69",59704,74195,133899,$40.26,$35.94
4/15/2023,"$2,087,159.31","$2,517,920.96","$4,605,080.27",52875,70671,123546,$39.47,$35.63
4/22/2023,"$2,496,234.15","$3,085,786.74","$5,582,020.89",66199,86307,152506,$37.71,$35.75
4/29/2023,"$2,507,966.33","$2,561,633.80","$5,069,600.13",63190,67718,130908,$39.69,$37.83
4/30/2023,"$286,293.00","$183,661.24","$469,954.24",7167,4973,12140,$39.95,$36.93
5/6/2023,"$2,282,560.02","$2,414,465.01","$4,697,025.03",57754,67006,124760,$39.52,$36.03
5/13/2023,"$2,564,913.32","$2,458,332.18","$5,023,245.50",64687,67872,132559,$39.65,$36.22
5/20/2023,"$2,617,368.35","$2,465,160.61","$5,082,528.96",65731,68606,134337,$39.82,$35.93
5/27/2023,"$2,800,947.71","$2,841,464.80","$5,642,412.51",70934,79680,150614,$39.49,$35.66
5/31/2023,"$1,280,002.90","$1,049,495.20","$2,329,498.10",32948,29594,62542,$38.85,$35.46
6/3/2023,"$1,390,943.35","$1,376,935.93","$2,767,879.28",35095,37613,72708,$39.62,$36.60
6/10/2023,"$2,828,270.87","$2,468,881.28","$5,297,152.15",70454,65602,136056,$40.15,$37.55
6/17/2023,"$2,875,410.83","$2,585,081.31","$5,460,492.14",71879,68506,140385,$40.11,$37.83
6/24/2023,"$2,903,411.26","$2,524,419.26","$5,427,830.52",72603,66998,139601,$39.94,$37.73
6/30/2023,"$2,544,960.59","$2,408,269.64","$4,953,230.23",63479,64574,128053,$40.19,$37.42
7/1/2023,"$473,217.98","$460,581.25","$933,799.23",11876,11012,22888,$39.85,$41.83
7/8/2023,"$2,890,082.75","$2,312,022.99","$5,202,105.74",71956,60136,132092,$40.11,$38.46
7/15/2023,"$2,981,657.61","$2,464,306.71","$5,445,964.32",73530,62523,136053,$40.55,$39.41
7/22/2023,"$2,981,433.64","$2,437,203.52","$5,418,637.16",73419,62138,135557,$40.62,$39.54
7/29/2023,"$2,966,760.63","$2,389,904.19","$5,356,664.82",74494,60394,134888,$39.97,$39.81
7/31/2023,"$725,428.91","$545,129.04","$1,270,557.95",18902,14037,32939,$38.42,$38.88
8/5/2023,"$2,354,292.08","$1,920,738.17","$4,275,030.25",60171,48816,108987,$39.11,$39.37
8/12/2023,"$3,150,213.59","$2,524,250.92","$5,674,464.51",79640,64454,144094,$39.58,$39.29
8/19/2023,"$3,154,663.06","$2,365,347.61","$5,520,010.67",80036,60189,140225,$39.45,$39.40
8/26/2023,"$3,212,642.77","$2,440,709.72","$5,653,352.49",81333,61919,143252,$39.53,$39.42
8/31/2023,"$2,128,558.59","$1,687,225.97","$3,815,814.56",53520,43017,96537,$39.76,$39.30
9/2/2023,"$1,253,447.63","$1,104,080.66","$2,357,558.29",32383,27354,59917,$38.74,$40.24
9/9/2023,"$3,134,372.02","$2,250,751.05","$5,385,123.07",81345,59987,141332,$38.60,$37.37
9/16/2023,"$3,293,747.30","$2,428,145.42","$5,721,892.72",86627,63169,149796,$38.13,$38.34
9/23/2023,"$3,294,533.61","$2,403,860.11","$5,698,393.72",86311,65120,151431,$38.22,$37.09
9/30/2023,"$3,412,650.76","$2,628,149.81","$6,040,800.57",89369,68486,157855,$38.14,$38.02
10/7/2023,"$3,290,023.19","$2,275,197.04","$5,565,220.23",87830,62114,149944,$37.51,$36.82
